,isFaculty,isStaff,isStudent,building,buildingKey,room,comfort,quarter,timestamp,activity,clothing
6856,FALSE,False,False,Shields Library,DV-01-000056,,Perfect,fall2015,Wed Nov 04 2015 15:59:38 GMT-0800 (PST),,
6857,FALSE,False,False,Segundo Gilmore,DV-01-000202,402,Cold,fall2015,Wed Nov 04 2015 15:12:54 GMT-0800 (PST),,
6858,FALSE,False,False,Sciences Lab Lecture Hall,DV-01-001554,2090,Cold,fall2015,Wed Nov 04 2015 15:09:09 GMT-0800 (PST),,
6859,FALSE,False,False,Segundo Bixby,DV-01-000203,410,Cold,fall2015,Wed Nov 04 2015 16:19:37 GMT-0800 (PST),,
6860,FALSE,False,False,Segundo Miller,DV-01-001564,207,Chilly,fall2015,Wed Nov 04 2015 16:19:25 GMT-0800 (PST),,
6861,FALSE,False,False,Segundo Gilmore,DV-01-000202,402,Cold,fall2015,Wed Nov 04 2015 14:45:48 GMT-0800 (PST),,
6862,FALSE,False,False,Segundo Gilmore,DV-01-000202,402,Cold,fall2015,Wed Nov 04 2015 14:44:14 GMT-0800 (PST),,
6863,FALSE,False,False,Segundo Ryerson,DV-01-000279,107,Cold,fall2015,Wed Nov 04 2015 16:30:09 GMT-0800 (PST),,
6864,FALSE,False,False,Segundo Ryerson,DV-01-000279,203,Cold,fall2015,Wed Nov 04 2015 16:40:02 GMT-0800 (PST),,
6865,FALSE,False,False,Sciences Lab Building,DV-01-001553,2090,Cold,fall2015,Wed Nov 04 2015 15:12:01 GMT-0800 (PST),,
6866,FALSE,False,False,Tercero 3 Bldg 6 - Mahogany,DV-01-001925,305,Perfect,fall2015,Wed Nov 04 2015 16:53:02 GMT-0800 (PST),,
6867,FALSE,False,False,Segundo North - OE Thompson Hall,DV-01-001563,305A,Cold,fall2015,Wed Nov 04 2015 16:56:58 GMT-0800 (PST),,
6868,FALSE,False,False,Wellman Hall,DV-01-000643,230,Perfect,fall2015,Wed Nov 04 2015 16:57:52 GMT-0800 (PST),,
6869,FALSE,False,False,King Hall,DV-01-000609,1001,Cold,fall2015,Wed Nov 04 2015 16:09:44 GMT-0800 (PST),,
6870,FALSE,False,False,Regan Sereno,DV-01-000355,,Cold,fall2015,Wed Nov 04 2015 17:12:28 GMT-0800 (PST),,
6871,FALSE,False,False,Kleiber Hall,DV-01-000682,3,Chilly,fall2015,Wed Nov 04 2015 19:24:13 GMT-0800 (PST),,
6872,FALSE,False,False,Hutchison Hall,DV-01-000287,75,Chilly,fall2015,Wed Nov 04 2015 17:27:12 GMT-0800 (PST),,
6873,FALSE,False,False,Young Hall,DV-01-000058,194,Chilly,fall2015,Wed Nov 04 2015 18:51:38 GMT-0800 (PST),,
6874,FALSE,False,False,Shields Library,DV-01-000056,,Warm,fall2015,Wed Nov 04 2015 15:59:21 GMT-0800 (PST),,
6875,FALSE,False,False,Emerson Hall,DV-01-000943,313A,Cold,fall2015,Wed Nov 04 2015 18:53:21 GMT-0800 (PST),,
6876,FALSE,False,False,Segundo Malcolm,DV-01-000204,210,Cold,fall2015,Wed Nov 04 2015 20:14:27 GMT-0800 (PST),,
6877,FALSE,False,False,California Raptor Museum,DV-01-000513,2,Hot,fall2015,Wed Nov 04 2015 15:13:58 GMT-0800 (PST),,
6878,FALSE,False,False,Regan Paloma,DV-01-000353,312,Cold,fall2015,Wed Nov 04 2015 20:32:39 GMT-0800 (PST),,
6879,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Wed Nov 04 2015 20:33:37 GMT-0800 (PST),,
6880,FALSE,False,False,Emerson Hall,DV-01-000943,224b,Cold,fall2015,Wed Nov 04 2015 20:48:28 GMT-0800 (PST),,
6881,FALSE,False,False,Sciences Lab Lecture Hall,DV-01-001554,,Perfect,fall2015,Wed Nov 04 2015 20:42:42 GMT-0800 (PST),,
6882,FALSE,False,False,Emerson Hall,DV-01-000943,211,Cold,fall2015,Wed Nov 04 2015 20:08:35 GMT-0800 (PST),,
6883,FALSE,False,False,Segundo Ryerson,DV-01-000279,107,Cold,fall2015,Wed Nov 04 2015 16:30:41 GMT-0800 (PST),,
6884,FALSE,False,False,Segundo Malcolm,DV-01-000204,207,Cold,fall2015,Wed Nov 04 2015 21:11:03 GMT-0800 (PST),,
6885,FALSE,False,False,Regan Paloma,DV-01-000353,312A,Cold,fall2015,Wed Nov 04 2015 20:33:24 GMT-0800 (PST),,
6886,FALSE,False,False,Tercero 3 Bldg 2 - Scrub Oak,DV-01-001921,214,Chilly,fall2015,Wed Nov 04 2015 21:17:17 GMT-0800 (PST),,
6887,FALSE,False,False,Regan Paloma,DV-01-000353,310,Cold,fall2015,Wed Nov 04 2015 22:13:44 GMT-0800 (PST),,
6888,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Wed Nov 04 2015 22:20:49 GMT-0800 (PST),,
6889,FALSE,False,False,Regan Paloma,DV-01-000353,304,Cold,fall2015,Wed Nov 04 2015 22:15:09 GMT-0800 (PST),,
6890,FALSE,False,False,Young Hall,DV-01-000058,198,Cold,fall2015,Wed Nov 04 2015 17:51:17 GMT-0800 (PST),,
6891,FALSE,False,False,Young Hall,DV-01-000058,198,Cold,fall2015,Wed Nov 04 2015 19:07:01 GMT-0800 (PST),,
6892,FALSE,False,False,Regan Paloma,DV-01-000353,0309A,Cold,fall2015,Wed Nov 04 2015 22:10:12 GMT-0800 (PST),,
6893,FALSE,False,False,Regan Paloma,DV-01-000353,308,Cold,fall2015,Wed Nov 04 2015 22:21:52 GMT-0800 (PST),,
6894,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Wed Nov 04 2015 22:31:53 GMT-0800 (PST),,
6895,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Wed Nov 04 2015 22:31:53 GMT-0800 (PST),,
6896,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Wed Nov 04 2015 22:13:27 GMT-0800 (PST),,
6897,FALSE,False,False,Segundo Bixby,DV-01-000203,107,Cold,fall2015,Wed Nov 04 2015 22:38:35 GMT-0800 (PST),,
6898,FALSE,False,False,Regan Paloma,DV-01-000353,210,Cold,fall2015,Wed Nov 04 2015 22:32:21 GMT-0800 (PST),,
